Unique Key,InitDate,Descriptor,Zip,Address,Cross Street 1,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude,Location
33769725,7/6/16 0:00,Rat Sighting,11412,120-32 201 STREET,120 AVENUE,QUEENS,1053789,190816,40.69014943,-73.74924764,"(40.69014942710112, -73.74924764127887)"
33770850,7/6/16 0:00,Rat Sighting,11233,148 SOMERS STREET,SACKMAN STREET,BROOKLYN,1010458,186813,40.6793965,-73.90551129,"(40.67939649602258, -73.90551128883418)"
33770854,7/6/16 0:00,Rat Sighting,11372,34-26 72 STREET,34 AVENUE,QUEENS,1013567,213234,40.75190601,-73.89418724,"(40.75190601042114, -73.8941872369066)"
33770932,7/6/16 0:00,Rat Sighting,11373,84-52 GRAND AVENUE,LONG ISLAND RAILROAD,QUEENS,1016832,206946,40.73463561,-73.88243347,"(40.73463560814626, -73.88243346628438)"
33770933,7/6/16 0:00,Rat Sighting,11372,77-12 35 AVENUE,77 STREET,QUEENS,1014974,213020,40.75131386,-73.88910999,"(40.751313858165716, -73.88910998694426)"
33771853,7/6/16 0:00,Rat Sighting,10472,CROSS BRONX EXPRESSWAY,,BRONX,1022379,242948,40.83342921,-73.86221377,"(40.833429206595554, -73.86221376567495)"
33771865,7/6/16 0:00,Rat Sighting,10034,,,MANHATTAN,1004367,254624,40.86553576,-73.9272684,"(40.865535758901885, -73.92726840202711)"
33771938,7/6/16 0:00,Rat Sighting,11436,142-13 BASCOM AVENUE,142 STREET,QUEENS,1040330,184642,40.67329876,-73.79783096,"(40.673298760867894, -73.79783096269166)"
33772038,7/6/16 0:00,Rat Sighting,10035,49 EAST 126TH STREET,,MANHATTAN,1001037,233030,40.80627345,-73.93936182,"(40.80627345210456, -73.93936182263312)"
33772041,7/6/16 0:00,Rat Sighting,10314,116 CLERMONT PLACE,PURDY AVENUE,STATEN ISLAND,948714,161347,40.60946536,-74.12798512,"(40.609465357694994, -74.12798512164736)"
33772051,7/6/16 0:00,Rat Sighting,10468,2734 SEDGWICK AVENUE,WEST KINGSBRIDGE ROAD,BRONX,1011155,256424,40.87045813,-73.90271966,"(40.87045812848627, -73.90271965614595)"
33772052,7/6/16 0:00,Rat Sighting,10308,24 BARLOW AVENUE,CORBIN AVENUE,STATEN ISLAND,942933,143894,40.56153534,-74.14869901,"(40.56153534358661, -74.14869901327077)"
33772982,7/6/16 0:00,Rat Sighting,11211,189 POWERS STREET,GRAHAM AVENUE,BROOKLYN,1000080,198862,40.71249284,-73.94289916,"(40.7124928377824, -73.94289916050299)"
33772983,7/6/16 0:00,Rat Sighting,11238,149 GREENE AVENUE,WAVERLY AVENUE,BROOKLYN,993652,189457,40.68668748,-73.96609891,"(40.68668747713742, -73.96609890686555)"
33772986,7/6/16 0:00,Rat Sighting,10009,170 AVENUE D,EAST 10 STREET,MANHATTAN,991278,203625,40.7255775,-73.97464413,"(40.72557749670533, -73.97464412695044)"
33773063,7/7/16 0:00,Rat Sighting,10460,1680 VYSE AVENUE,EAST 173 STREET,BRONX,1015613,243722,40.83558023,-73.88666032,"(40.83558023056173, -73.88666031611632)"
33773069,7/6/16 0:00,Rat Sighting,11238,112 LEFFERTS PLACE,GRAND AVENUE,BROOKLYN,995475,187395,40.68102563,-73.95952909,"(40.681025633844165, -73.95952909318282)"
33773070,7/6/16 0:00,Rat Sighting,10467,3276 DECATUR AVENUE,EAST 207 STREET,BRONX,1019067,258375,40.87578536,-73.87410215,"(40.8757853562266, -73.87410215309576)"
33773072,7/6/16 0:00,Rat Sighting,11372,77-12 35 AVENUE,77 STREET,QUEENS,1014974,213020,40.75131386,-73.88910999,"(40.751313858165716, -73.88910998694426)"
33773073,7/6/16 0:00,Rat Sighting,11226,,,BROOKLYN,998143,177605,40.65415048,-73.94992999,"(40.654150483254206, -73.94992999411926)"
33773198,7/6/16 0:00,Rat Sighting,11226,321 EAST   21 STREET,ALBEMARLE ROAD,BROOKLYN,995548,174868,40.6466417,-73.95928689,"(40.646641704696016, -73.95928688881985)"
